7,2,0 15,4,0 13,4,0 20,6,0 
11,9,0 16,13,0 23,19,0 
25,15,1 9,5,1 
6,5,1 24,23,1 
22,11,1 7,2,1 
21,5,0 12,2,1 
9,5,0 19,10,0 
8,0,1 18,2,1 
17,0,1 8,0,0 
4,2,1 10,7,0 
6,5,0 2,1,1 
1,0,0 3,0,0 
2,1,0 1,0,1 
38,27,0 
38,27,1 
39,38,0 
39,38,1 
37,34,0 
37,34,1 
36,17,0 
36,17,1 
35,22,0 
35,22,1 
34,26,0 
34,26,1 
33,1,0 
33,1,1 
32,26,0 
32,26,1 
31,7,0 
31,7,1 
30,3,0 
30,3,1 
29,4,0 
29,4,1 
28,19,0 
28,19,1 
27,7,0 
27,7,1 
26,13,0 
26,13,1 
25,15,0 
24,23,0 
23,19,1 
22,11,0 
21,5,1 
20,6,1 
19,10,1 
18,2,0 
17,0,0 
16,13,1 
15,4,1 
14,9,0 
14,9,1 
13,4,1 
12,2,0 
11,9,1 
10,7,1 
5,0,0 
5,0,1 
4,2,0 
3,0,1 
0,0,0 
